metric,value
noise_strength,0.005
drift_strength,-0.004
M2_total,64245379728.82784
peak_phi,999998.4770786528
peak_phi_abs,999998.4770786528
final_particle_count,255
final_com_dist,2.8334520634598026
SBR,36372.85244896824
