radius_kpc,Vobs_km_s,errV_km_s,Vbar_literal_km_s,Vmodel_km_s,model_residual_km_s,model_standardized_residual,null_residual_km_s
0.32000000000000001,24.399999999999999,35.899999999999999,63.280000000000001,64.53019650145535,40.130196501455352,1.1178327716282828,38.880000000000003
0.64000000000000001,43.299999999999997,16.300000000000001,73.659999999999997,75.798148172388053,32.498148172388056,1.9937514216188992,30.359999999999999
0.95999999999999996,45.5,16.100000000000001,78.980000000000004,81.958256243702536,36.458256243702536,2.2644879654473624,33.480000000000004
1.28,58.5,15.4,82.700740625462359,86.477993831911505,27.977993831911505,1.8167528462280198,24.200740625462359
1.6100000000000001,68.799999999999997,7.6100000000000003,84.220133578616455,88.863478906012759,20.063478906012762,2.6364624055207306,15.420133578616458
1.9299999999999999,76.900000000000006,10.300000000000001,83.17001502945638,88.772425202086367,11.872425202086362,1.1526626409792584,6.2700150294563741
2.2400000000000002,82,8.0899999999999999,87.041268947551544,93.241744514751261,11.241744514751261,1.3895852305007739,5.0412689475515435
2.5699999999999998,86.900000000000006,7.5999999999999996,88.915075212249576,95.854906801763235,8.9549068017632294,1.1782772107583197,2.0150752122495703
2.8900000000000001,97.599999999999994,3.0299999999999998,88.991490042587785,96.752825885003176,-0.84717411499681816,-0.27959541749069911,-8.6085099574122097
3.21,100,5.3099999999999996,93.816926511157888,101.99256221291381,1.9925622129138105,0.37524712107604719,-6.1830734888421119
3.54,107,7.5099999999999998,101.22075133094003,109.59288651134368,2.5928865113436785,0.34525785770222084,-5.7792486690599674
3.8500000000000001,113,7.3200000000000003,108.53059706829222,117.03790323634941,4.0379032363494076,0.55162612518434528,-4.4694029317077764
4.1699999999999999,117,5.21,115.52000043282548,124.18815298408053,7.1881529840805314,1.3796838741037489,-1.4799995671745165
4.5,119,5.6699999999999999,120.54909788131971,129.51277573124031,10.512775731240311,1.8541050672381501,1.5490978813197103
4.8200000000000003,127,5.3899999999999997,125.50543135657517,134.72789338480365,7.7278933848036502,1.4337464535813822,-1.4945686434248273
5.1500000000000004,132,4.3399999999999999,129.53995677010241,139.08226257344165,7.0822625734416533,1.6318577358160493,-2.4600432298975932
5.46,134,2.3599999999999999,133.34237173531901,143.16656598426189,9.1665659842618936,3.8841381289245316,-0.65762826468099433
5.7800000000000002,137,0.89000000000000001,136.70281123663844,146.84032352733388,9.8403235273338794,11.05654328913919,-0.29718876336156086
6.0999999999999996,140,2.8399999999999999,139.73059686410846,150.18918735755776,10.189187357557756,3.5877420273090692,-0.26940313589153675
6.4299999999999997,142,0.88,142.24624634766289,153.06394020808941,11.063940208089406,12.572659327374325,0.24624634766288978
6.7400000000000002,144,1.23,142.80586577588468,154.07932969951369,10.079329699513693,8.1945769914745465,-1.1941342241153166
7.0599999999999996,146,1.5700000000000001,141.5263950646663,153.40685877904315,7.4068587790431479,4.7177444452504123,-4.4736049353336966
8.0399999999999991,147,3,136.66636199153032,150.53520391190207,3.5352039119020731,1.1784013039673578,-10.333638008469677
9.0399999999999991,148,3,132.31487066841731,148.24482582922914,0.24482582922914276,0.08160860974304758,-15.685129331582687
10.039999999999999,152,2,130.27030513513046,148.06286192126902,-3.9371380787309818,-1.9685690393654909,-21.729694864869543
11.039999999999999,155,2,129.53229442884117,149.03125030180965,-5.9687496981903507,-2.9843748490951754,-25.467705571158831
12.050000000000001,156,2,128.5558730669276,149.79539204510777,-6.2046079548922251,-3.1023039774461125,-27.444126933072397
14.050000000000001,157,2,123.04960300626736,148.29605157432886,-8.7039484256711432,-4.3519742128355716,-33.950396993732639
16.07,153,2,114.18718535807773,144.28449865457912,-8.7155013454208756,-4.3577506727104378,-38.812814641922273
18.129999999999999,153,2,107.92139546910983,142.65897962487585,-10.341020375124145,-5.1705101875620727,-45.078604530890175
20.050000000000001,154,2,104.30430911520388,142.9147065859695,-11.085293414030502,-5.5426467070152512,-49.695690884796122
22.120000000000001,153,2,100.28798532227079,143.12266211956847,-9.8773378804315257,-4.9386689402157629,-52.712014677729215
24.030000000000001,150,2,96.534728465977466,143.29686837412146,-6.7031316258785409,-3.3515658129392705,-53.465271534022534
26.100000000000001,149,2,93.514132621759373,144.17660780097304,-4.823392199026955,-2.4116960995134775,-55.485867378240627
28.16,148,2,91.173196170804502,145.42313095897396,-2.5768690410260433,-1.2884345205130217,-56.826803829195498
30.079999999999998,146,2,88.531514163036874,146.23705045299025,0.23705045299024619,0.11852522649512309,-57.468485836963126
32.140000000000001,147,2,85.755970637617992,147.0909670777508,0.090967077750804037,0.045483538875402019,-61.244029362382008
34.060000000000002,148,2,83.881846665413846,148.23657668422831,0.2365766842283108,0.1182883421141554,-64.118153334586154
36.119999999999997,148,2,82.556128785208912,149.75749668085732,1.7574966808573151,0.87874834042865757,-65.443871214791088
38.189999999999998,149,2,81.3620955973972,151.2523809719365,2.2523809719365033,1.1261904859682517,-67.6379044026028
40.100000000000001,150,2,80.365266129093357,152.59132283429255,2.5913228342925549,1.2956614171462775,-69.634733870906643
42.170000000000002,150,3,79.848324340589642,154.23110879204287,4.2311087920428747,1.4103695973476249,-70.151675659410358
44.079999999999998,149,3,78.018731725144065,154.95848052777026,5.9584805277702628,1.9861601759234209,-70.981268274855935
