radius_kpc,start_00_Vmodel_km_s,start_01_Vmodel_km_s,start_02_Vmodel_km_s,start_03_Vmodel_km_s,start_04_Vmodel_km_s,start_05_Vmodel_km_s,start_06_Vmodel_km_s,start_07_Vmodel_km_s,start_08_Vmodel_km_s,start_09_Vmodel_km_s,start_10_Vmodel_km_s,start_11_Vmodel_km_s,start_12_Vmodel_km_s,start_13_Vmodel_km_s,start_14_Vmodel_km_s,start_15_Vmodel_km_s
0.32000000000000001,64.530196608855974,64.530196576980217,64.530196542956006,64.530196506642653,64.530196534355127,64.530196307944436,64.530196260725646,64.53019620997469,64.530196524035446,64.530196572605888,64.530196387762629,64.530196524092929,64.53019650145535,64.53019621911632,64.530196337198646,64.530196344838757
0.64000000000000001,75.798148355180629,75.798148300926968,75.798148243019895,75.798148181215709,75.798148228382615,75.798147843031458,75.798147762666559,75.798147676292373,75.79814821081699,75.798148293484232,75.798147978882838,75.798148210915684,75.798148172388053,75.79814769184965,75.798147892825952,75.798147905825971
0.95999999999999996,81.958256497105182,81.95825642188926,81.958256341616121,81.95825625593794,81.95825632132734,81.958255787104235,81.958255675695654,81.958255555961884,81.958256296972067,81.958256411576656,81.958255975440565,81.958256297110879,81.958256243702536,81.958255577525264,81.958255856144547,81.958255874158851
1.28,86.477994151808701,86.477994056846995,86.477993955514208,86.477993847353588,86.477993929906248,86.477993255470295,86.477993114827527,86.477992963684557,86.477993899152352,86.477994043837455,86.477993493240731,86.477993899331139,86.477993831911505,86.477992990900177,86.477993342646627,86.477993365374829
1.6100000000000001,88.863479297070342,88.863479180970586,88.863479057103973,88.86347892488341,88.863479025807266,88.863478201297156,88.863478029368977,88.863477844620476,88.863478988199844,88.863479165081998,88.863478491980885,88.863478988424148,88.863478906012759,88.863477877880158,88.863478307897182,88.863478335659792
1.9299999999999999,88.772425670621573,88.772425531499721,88.772425383102828,88.772425224686501,88.772425345616497,88.772424357684017,88.77242415169323,88.772423930364383,88.772425300540476,88.772425512484489,88.772424705990076,88.772425300817432,88.772425202086367,88.772423970199355,88.772424485448994,88.772424518681433
2.2400000000000002,93.241745031559518,93.241744878078691,93.241744714405868,93.241744539668218,93.241744673071196,93.241743583266896,93.241743356053391,93.241743111949674,93.241744623328657,93.241744857131167,93.241743967498081,93.241744623644522,93.241744514751261,93.241743155870864,93.241743724252245,93.241743760870008
2.5699999999999998,95.854907377286025,95.854907206333564,95.854907024084213,95.854906829494993,95.854906978072535,95.854905764338454,95.854905511311884,95.854905239514764,95.854906922648112,95.854907183042982,95.85490619227599,95.85490692301407,95.854906801763235,95.854905288401184,95.854905921419032,95.854905962143988
2.8900000000000001,96.752826524639261,96.752826334600101,96.752826132070652,96.752825915804593,96.752826080956609,96.752824731868557,96.752824450655581,96.752824148628349,96.752826019320267,96.752826308760135,96.75282520754449,96.752826019744461,96.752825885003176,96.752824202930441,96.752824906543538,96.752824951740266
3.21,101.99256288506362,101.99256268531427,101.99256247251644,101.99256224525776,101.99256241883171,101.99256100099778,101.9925607054912,101.99256038816817,101.99256235401795,101.99256265821407,101.99256150093102,101.99256235448426,101.99256221291381,101.99256044519487,101.99256118466448,101.99256123208201
3.54,109.59288719906725,109.59288699463082,109.59288677693355,109.59288654440989,109.59288672203722,109.59288527115305,109.59288496880065,109.59288464419173,109.5928866556697,109.59288696696517,109.5928857827612,109.59288665617098,109.59288651134368,109.5928847024979,109.59288545920752,109.59288550763387
3.8500000000000001,117.03790393450157,117.03790372690331,117.03790350593754,117.03790326988853,117.03790345024261,117.03790197714865,117.03790167021252,117.03790134075106,117.03790338281414,117.03790369888368,117.0379024966107,117.03790338334832,117.03790323634941,117.03790139989748,117.03790216819348,117.03790221725986
4.1699999999999999,124.18815369419107,124.18815348296619,124.18815325825294,124.18815301816149,124.18815320164283,124.18815170307778,124.18815139088555,124.18815105586083,124.1881531329969,124.18815345454169,124.18815223154736,124.18815313356923,124.18815298408053,124.18815111597006,124.18815189755382,124.18815194735264
