radius,Vobs,errV,Vgas,Vdisk,Vbul,literal_m1_Vbar,literal_m1_Vmodel,literal_m1_residual,literal_m1_standardized_residual,signed_m1_Vbar,signed_m1_Vmodel,signed_m1_residual,signed_m1_standardized_residual,literal_fiducial_Vbar,literal_fiducial_Vmodel,literal_fiducial_residual,literal_fiducial_standardized_residual,signed_fiducial_Vbar,signed_fiducial_Vmodel,signed_fiducial_residual,signed_fiducial_standardized_residual
0.32,24.4,35.9,0.0,63.28,0.0,63.28,64.53019646833452,40.130196468334525,1.1178327707056972,63.28,64.53021032400912,40.13021032400912,1.1178331566576356,44.74571711348473,50.86709140555928,26.46709140555928,0.7372448859487265,44.74571711348473,50.86721802086417,26.467218020864173,0.7372484128374421
0.64,43.3,16.3,0.0,73.66,0.0,73.66,75.79814811601797,32.49814811601797,1.9937514181606117,73.66,75.79817170018211,32.49817170018211,1.9937528650418472,52.08548550220109,62.30696120345643,19.006961203456434,1.1660712394758548,52.08548550220109,62.30716717452264,19.007167174522642,1.1660838757375853
0.96,45.5,16.1,0.0,78.98,0.0,78.98,81.95825616555878,36.45825616555878,2.264487960593713,78.98,81.95828886509878,36.45828886509878,2.264489991621042,55.84729357811353,69.78224209634116,24.282242096341164,1.5082137948037988,55.84729357811353,69.78251625907349,24.28251625907349,1.508230823544937
1.28,58.5,15.4,0.35,82.7,0.0,82.70074062546236,86.47799373326457,27.97799373326457,1.8167528398223745,82.70074062546236,86.4780350225155,27.9780350225155,1.8167555209425648,58.47877820201103,75.81506700314058,17.315067003140584,1.124355000203934,58.47877820201103,75.81540057538098,17.315400575380977,1.1243766607390244
1.61,68.8,7.61,0.15,84.22,0.0,84.22013357861645,88.86347878542571,20.063478785425716,2.636462389674864,84.22013357861645,88.86352927425723,20.063529274257235,2.636469024212514,59.55272202007227,80.4045445412105,11.604544541210501,1.5249072984507885,59.55272202007227,80.4049356585597,11.604935658559697,1.5249586936346513
1.93,76.9,10.3,-0.05,83.17,0.0,83.17001502945638,88.77242505761346,11.872425057613455,1.1526626269527624,83.16998497054091,88.77245740880302,11.872457408803015,1.1526657678449528,58.810092246144286,83.32405346144076,6.424053461440749,0.6236945108194902,58.81004973641835,83.32446978972999,6.424469789729983,0.6237349310417458
2.24,82.0,8.09,-0.47,87.04,0.0,87.04126894755154,93.24174435539997,11.241744355399973,1.3895852108034579,87.03873103394834,93.23944199095997,11.239441990959975,1.3893006169295397,61.54836878423343,88.39449905353858,6.394499053538581,0.7904201549491447,61.5447796323945,88.39248083829033,6.392480838290325,0.7901706845847126
2.57,86.9,7.6,-0.95,88.91,0.0,88.91507521224958,95.85490662431712,8.954906624317118,1.1782771874101472,88.90492449802767,95.84556529487261,8.945565294872608,1.177048065114817,62.876041144461375,92.44465647572794,5.544656475727933,0.7295600625957808,62.861685866670804,92.43541105182626,5.535411051826259,0.7283435594508235
2.89,97.6,3.03,-1.43,88.98,0.0,88.99149004258778,96.75282568780068,-0.8471743121993143,-0.2795954825740311,88.96850847350427,96.73177082738896,-0.8682291726110378,-0.2865442813897815,62.93460971516388,95.36113989376723,-2.2388601062327638,-0.738897724829295,62.90210886766834,95.34024659260689,-2.259753407393106,-0.7457932037601009
3.21,100.0,5.31,-1.14,93.81,0.0,93.81692651115789,101.99256200570034,1.9925620057003357,0.37524708205279395,93.80307297738172,101.97990610390191,1.9799061039019108,0.3728636730512073,66.34348234755242,100.32116362565347,0.3211636256534689,0.06048279202513539,66.32389049203914,100.30877877606049,0.30877877606049253,0.0581504286366276
3.54,107.0,7.51,-0.39,101.22,0.0,101.22075133094003,109.59288629934446,2.592886299344457,0.34525782947329653,101.21924866348297,109.59158749482974,2.5915874948297386,0.3450848861291263,71.57441093016415,106.39723928846986,-0.6027607115301379,-0.08026108009722209,71.57228583746644,106.39638747381774,-0.6036125261822605,-0.0803745041520986
3.85,113.0,7.32,0.36,108.53,0.0,108.53059706829222,117.03790302115159,4.0379030211515925,0.5516260957857366,108.53059706829222,117.03799350415801,4.03799350415801,0.5516384568521872,76.74314334192991,112.14936783893674,-0.8506321610632597,-0.11620657938022673,76.74314334192991,112.14994822958393,-0.8500517704160728,-0.1161272910404471
4.17,117.0,5.21,1.52,115.51,0.0,115.52000043282548,124.1881527652152,7.188152765215193,1.3796838320950466,115.52000043282548,124.18824487304538,7.188244873045377,1.3797015111411473,81.69204643048184,117.70863873840284,0.7086387384028399,0.13601511293720536,81.69204643048184,117.70922012472955,0.7092201247295549,0.13612670340298558
4.5,119.0,5.67,3.07,120.51,0.0,120.54909788131971,129.51277550568523,10.512775505685227,1.854105027457712,120.54909788131971,129.51287052450724,10.512870524507235,1.8541217856273784,85.26872199112638,122.26083867546976,3.2608386754697563,0.5751038228341722,85.26872199112638,122.26142312929758,3.261423129297583,0.5752069011106848
4.82,127.0,5.39,4.63,125.42,0.0,125.50543135657517,134.72789315354697,7.727893153546972,1.4337464106766182,125.50543135657517,134.7279906771656,7.727990677165593,1.433764504112355,88.80610958712244,126.60824971367244,-0.39175028632756437,-0.0726809436600305,88.80610958712244,126.60883395194826,-0.39116604805174404,-0.07257255065895066
5.15,132.0,4.34,6.02,129.4,0.0,129.5399567701024,139.0822623352119,7.082262335211908,1.6318576809244028,129.5399567701024,139.08236291725765,7.0823629172576545,1.6318808565109804,91.69743944080446,130.45058267610034,-1.549417323899661,-0.3570085999768804,91.69743944080446,130.45116629557307,-1.5488337044269258,-0.3568741254439921
5.46,134.0,2.36,7.16,133.15,0.0,133.342371735319,143.16656574005268,9.166565740052675,3.884138025446049,133.342371735319,143.16666896829742,9.166668968297415,3.8841817662277185,94.42312666926468,133.97062700905647,-0.02937299094352852,-0.012446182603190052,94.42312666926468,133.97120755136322,-0.028792448636778545,-0.012200190100329893
5.78,137.0,0.89,8.31,136.45,0.0,136.70281123663844,146.84032327658116,9.84032327658116,11.056543007394561,136.70281123663844,146.84042940841573,9.84042940841573,11.056662256646888,96.84191938411794,137.2345332233927,0.23453322339270244,0.26352047572213755,96.84191938411794,137.23510947816268,0.23510947816268413,0.2641679529917799
